Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Preocupación por Emergencia en aeropuerto en Chepes,"Grave emergencia en aeropuerto ocurrió en las inmediaciones de Chepes, La Rioja. El incidente afectando gravemente la infraestructura local. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Emergencia en aeropuerto,-31.312311,-66.571943,01/08/2005
Devastador Fuego en centro comercial afecta a Tigre,"Autoridades confirmaron un fuego en centro comercial en Tigre, Buenos Aires. El incidente bloqueando las principales vías de acceso. El municipio ha activado el protocolo de emergencias para esta situación.",Fuego en centro comercial,-34.406246,-58.582776,24/09/2023
"Equipos de emergencia atienden Descarrilamiento de vagones en Santa María, Catamarca","Autoridades confirmaron un descarrilamiento de vagones en Santa María, Catamarca. El incidente obligando a evacuar a residentes de la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Descarrilamiento de vagones,-26.672062,-66.098732,27/01/2017
Preocupación por Escape de gas domiciliario en San Lorenzo,"Autoridades confirmaron un escape de gas domiciliario en San Lorenzo, Santa Fe. El incidente generando serios daños ambientales en la región. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Escape de gas domiciliario,-32.735434,-60.725894,06/01/2001
"Autoridades responden a Explosión seguida de incendio en Córdoba, Córdoba","Autoridades confirmaron un explosión seguida de incendio en Córdoba, Córdoba. El incidente generando preocupación entre autoridades provinciales. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Explosión seguida de incendio,-31.39782,-64.156268,16/03/2001
"Se reporta Apagón por tormenta en zona de Quitilipi, Chaco","Un grave apagón por tormenta se registró en Quitilipi, Chaco. El incidente interrumpiendo servicios básicos en toda la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Apagón por tormenta,-26.883803,-60.25217,08/02/2015
Equipos de emergencia atienden Corte masivo de electricidad en Realicó,"Un grave corte masivo de electricidad se registró en Realicó, La Pampa. El incidente resultando en el cierre temporal de escuelas y comercios. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Corte masivo de electricidad,-34.997562,-64.21448,05/11/2021
"Equipos de emergencia atienden Derrumbe parcial en San Carlos de Bariloche, Río Negro","Un grave derrumbe parcial se registró en San Carlos de Bariloche, Río Negro. El incidente con un saldo inicial de varias personas heridas. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Derrumbe parcial,-41.111216,-71.340682,14/07/2022
Serio incidente: Escape de gas en Chilecito,"Autoridades confirmaron un escape de gas en Chilecito, La Rioja. El incidente generando serios daños ambientales en la región. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Escape de gas,-29.164506,-67.515536,28/04/2017
Ushuaia sufre las consecuencias de Escape de gas domiciliario,"Autoridades confirmaron un escape de gas domiciliario en Ushuaia, Tierra del Fuego. El incidente dejando a la población incomunicada por varias horas. Se ha establecido un centro de operaciones para coordinar las ayudas.",Escape de gas domiciliario,-54.800965,-68.345752,07/01/2010
Alerta por Fuego en local comercial en Río Tercero,"Un grave fuego en local comercial se registró en Río Tercero, Córdoba. El incidente causando daños en cultivos y producción agrícola. Se han habilitado refugios temporales para las familias afectadas.",Fuego en local comercial,-32.222083,-64.120493,14/08/2012
"Descarrilamiento con derrame deja múltiples daños en La Quiaca, Jujuy","Autoridades confirmaron un descarrilamiento con derrame en La Quiaca, Jujuy. El incidente provocando cortes de energía y problemas en el suministro de agua. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Descarrilamiento con derrame,-22.072477,-65.586579,17/01/2009
Emergencia por Explosión seguida de incendio en Mar del Plata,"Un grave explosión seguida de incendio se registró en Mar del Plata, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha establecido un centro de operaciones para coordinar las ayudas.",Explosión seguida de incendio,-38.00411,-57.525857,21/03/2025
Equipos de emergencia atienden Explosión en zona residencial en Córdoba,"Grave explosión en zona residencial ocurrió en las inmediaciones de Córdoba, Córdoba. El incidente provocando la activación de protocolos de emergencia. Se han habilitado refugios temporales para las familias afectadas.",Explosión en zona residencial,-31.375982,-64.198729,24/01/2023
"Evacuaciones por Fuga en planta industrial en Villa Dolores, Córdoba","Autoridades confirmaron un fuga en planta industrial en Villa Dolores, Córdoba. El incidente causando pérdidas millonarias y afectando a cientos de personas. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Fuga en planta industrial,-31.983861,-65.168313,20/12/2015
Preocupación por Interrupción del suministro eléctrico en La Banda,"Grave interrupción del suministro eléctrico ocurrió en las inmediaciones de La Banda, Santiago del Estero. El incidente dejando a varios sectores sin comunicación. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Interrupción del suministro eléctrico,-27.781286,-64.248,02/06/2008
Consecuencias graves tras Accidente de helicóptero en Paraná,"Autoridades confirmaron un accidente de helicóptero en Paraná, Entre Ríos. El incidente provocando cortes de energía y problemas en el suministro de agua. La población ha sido alertada para tomar precauciones adicionales.",Accidente de helicóptero,-31.701099,-60.533252,25/07/2022
Evacuaciones por Incendio en fábrica en Chepes,"Autoridades confirmaron un incendio en fábrica en Chepes, La Rioja. El incidente afectando el normal desarrollo de actividades en la zona. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Incendio en fábrica,-31.369325,-66.632058,17/02/2018
Incidente aéreo provoca emergencia en Humahuaca,"Autoridades confirmaron un incidente aéreo en Humahuaca, Jujuy. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Incidente aéreo,-23.168722,-65.387164,13/08/2018
Estallido de gasoducto impacta en Rosario,"Grave estallido de gasoducto ocurrió en las inmediaciones de Rosario, Santa Fe. El incidente bloqueando las principales vías de acceso. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Estallido de gasoducto,-32.901799,-60.620544,08/02/2010
Junín sufre las consecuencias de Colapso por fallas estructurales,"Autoridades confirmaron un colapso por fallas estructurales en Junín, Buenos Aires. El incidente destruyendo viviendas y dejando a familias evacuadas. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Colapso por fallas estructurales,-34.605914,-60.968321,19/10/2013
